I
1130 Generated by WorldEditor 2.2.0r2

1     52 1 0 SKLC Antonio Roldan Betancur
1302 gui_label 3D
100 45.00 1 0 0.00 1 2 0 15  07.81924082 -076.72077778    0    0 0 0 1 0 33  07.80395744 -076.71181734    0    0 2 0 0 0
110 2 0.00 0.0000 New Taxiway 49
111  07.81588296 -076.71799832
111  07.81626091 -076.71737059
111  07.81630367 -076.71735953
111  07.81630332 -076.71739472
111  07.81654402 -076.71752376
113  07.81617556 -076.71815840
110 1 0.00 0.0000 New Taxiway 23
111  07.81707315 -076.71921307
112  07.81714884 -076.71916928  07.81716932 -076.71913921
111  07.81737891 -076.71880590
112  07.81735604 -076.71864246  07.81729330 -076.71860363
111  07.81771404 -076.71885291
112  07.81753576 -076.71890907  07.81750079 -076.71896977
111  07.81732328 -076.71926848
114  07.81732701 -076.71936430  07.81734376 -076.71938121
110 1 0.00 0.0000 New Taxiway 1
111  07.81729295 -076.71780805
111  07.81737790 -076.71765986
111  07.81730616 -076.71761725
111  07.81748881 -076.71724481
111  07.81774582 -076.71740865
112  07.81782156 -076.71739772  07.81783981 -076.71737103
111  07.81774311 -076.71753425
112  07.81770703 -076.71747311  07.81767727 -076.71745399
111  07.81760244 -076.71741684
113  07.81735810 -076.71784737
110 2 0.00 0.0000 New Taxiway 27
111  07.81629596 -076.71712047
111  07.81616906 -076.71705637
111  07.81640098 -076.71668721
113  07.81650925 -076.71675889
110 1 0.00 0.0000 New Taxiway 4
111  07.81857770 -076.71857590
111  07.81866297 -076.71848357
112  07.81866692 -076.71844709  07.81866636 -076.71841973
111  07.81864208 -076.71841859
111  07.81845359 -076.71843433
111  07.81845404 -076.71850066
111  07.81826839 -076.71839108
111  07.81833732 -076.71837711
111  07.81837527 -076.71828136
111  07.81846132 -076.71833471
111  07.81863898 -076.71813128
112  07.81879588 -076.71821992  07.81879822 -076.71821992
111  07.81869752 -076.71836648
111  07.81872797 -076.71838539
111  07.81885818 -076.71818347
111  07.81892198 -076.71822652
111  07.81895746 -076.71817147
111  07.81900664 -076.71819865
112  07.81903946 -076.71819437  07.81903946 -076.71819791
111  07.81915313 -076.71826984
111  07.81907572 -076.71839484
111  07.81922799 -076.71849511
111  07.81912681 -076.71865676
111  07.81891863 -076.71855018
111  07.81883138 -076.71855604
112  07.81883232 -076.71847102  07.81883232 -076.71847054
111  07.81884879 -076.71846532
111  07.81885068 -076.71845487
111  07.81883703 -076.71845392
111  07.81882244 -076.71844537
